Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,9 Feb 2026,5,Parth Darji,"I recently bought the Jack & Jones black T shirt from Myntra and I’m really impressed with it! The fabric is soft, breathable, and comfortable to wear all day, even in warm weather The black colour looks rich and stylish, and the fit is just right neither too tight nor too loose "
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,30 Sept 2025,5,Amit Kumar Pandey,"Comfortable fabric, slim fit , best for gym and daily use , can be paired with shirt for layering."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,30 Jan 2026,5,Vinayak Singh,This is product is amazing. Everything just blends perfectly the quality Material and the fit is perfect. A must buy product what are you waiting for just get yours now! I bought all colours and I’m satisfied with the product. All colours look stunning. Packaging was good and delivery was on time. Thanks!
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,15 Aug 2025,5,Sohail Siddique,Everything is good but its very thin ! i have almost all the colours of this t shirt but this white is lil transparent but the fitting is good
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,28 Feb 2026,5,Supern Kashyap,"This Jack & Jones pure cotton T-shirt is super comfortable and feels soft against the skin. The fit is great — not too tight and not too loose. The quality of the cotton feels durable and breathable, perfect for everyday wear. It washes well without losing shape or color. A stylish, reliable staple for any casual wardrobe!!"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,5 June 2024,5,Sayan Sarkar,"This black tee is a wardrobe essential. The material is soft and high-quality, making it comfortable to wear all day long. The fit is perfect - not too loose and not too tight. It's a great basic that can be dressed up or down.  I highly recommend it!"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,14 Feb 2025,5,Ankit Sharma,Its so comfortable and fitted and the fabric is also awesome ❤️loved it.
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,25 Apr 2025,4,Moody Akku,It is a very soft cotton material perfect for those hot summer days ...the only tad bit problem is inspite of a bigger size it is tight on the abdomen..else it's really smart summer appropriate tshirt
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,30 Aug 2024,5,Ragesh Dipu,"The tshirt is a little larger and better fitting than normal Jack and Jones tshirts. This one is very comfortable and suitable for workouts...  Product description is wrong. This is not a slim fit tshirt, it's regular fit... "
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,18 Feb 2026,4,Pratibha,"quality 5 star comfort 5 star fit is 4 star cause i have big biceps and used in gym after few times the arm elastic got little loose great for layering or just can wear just the tshirt
"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,28 July 2025,5,Xitiz Kapoor,"Nice fit I think best product from jack n Jones at this price even after many wash quality is entact
"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,6 Dec 2023,3,Foster Michael Lyngdoh,The quality was just about right for its price.The fit was also slim like it was mentioned in the website. If you don't have a flat tummy just order a size bigger than what you are intending to buy
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,23 Sept 2025,4,Aditya,T-shirt is really comfortable and perfect for daily wear. The fabric feels soft on the skin and is breathable
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,23 Mar 2026,5,Myntra Customer,
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,17 Jan 2026,5,Sai Sujan,The t-shirt is very nice and super fit for my body jack and jones is the big brand and i bought just for 700 in Myntra in other platforms it is like 1200 and the quality of the t - shirt is next level 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,3 Aug 2025,5,Aman S,"The fitting top class
The quality top notch 
The best quality t shirt at low price love it "
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,15 Dec 2024,5,Gaurav Joshi,"perfect fit perfect look

"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,16 May 2025,5,J,"It’s been my go-to brand of T-shirts for a more than a decade. Jack n jones never disappoints. Fits perfectly and the colour is as is in picture.
"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,26 July 2024,3,Balaji Borphale,I bought M size tshirt which states 39.8 in size chart but actually chest is of 42 size and colour is normal black instead of jet black. Otherwise fabric quality is decent.
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,15 Feb 2025,5,Ankit Sharma,Very nice fabric n fitting 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,4 June 2024,5,Yash Bagaria,"One of the best quality tshirts that I have ever received from an online platform.
Myntra by true ways is the hub of fashion."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,24 June 2024,5,Srinivas,White shirt is very nice without any stains and the quality is also good. Cost is also mostly affordable 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,23 Oct 2025,5,Ridheema,"Fits very well, great material, colour is exactly as shown, very comfortable especially for summers. Jack & Jones never disappoints."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,4 Apr 2026,5,Vipul Meena,Very light and soft cotton t-shirt and im  impressed with this product thankyou Myntra for this. such a wonderful product 😊
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,3 June 2025,5,Hamza,"Top Notch Quality.Perfect for summer.
If you are a gym freak buy 1 size lower it’ll be perfect other wise  go for your ideal size."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,6 Feb 2026,4,Sudhanshu,"The fabric feels very soft , good for all weather. Colour doesn't fade that much . Perfect fit."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,12 Feb 2025,5,Hritik Rajput,Best T-shirt for everyday use breathable pure cotton jack&jones always best brand in premium segment 😍😍😍
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,22 Aug 2024,5,Naveen Kumar Bharat,The Tshirt was pure white color as it was in the picture and the material was soft and breathable 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,23 Jan 2025,5,Praveen Kumar,"“Great product! Excellent quality, works perfectly, and worth every penny. Highly recommend!”"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,6 Aug 2024,5,Sourabh Agrawal,A fab material nd perfect one
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,30 July 2024,5,Vijay,"Good fabric 
Looks 4 star 
Fitting 4 star
Overall good for everday purpose"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,21 June 2024,4,Bibhas Pathak,"Product quality and fabric is awesome.
Feeling comfortable with the style"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,29 Jan 2026,5,Sripal Azmeera,"The quality of the product is very good, previously i have used the same one blindly go for it"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,23 Sept 2024,4,Brijesh,"This one was a good purchase for the price it was available at!



"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,7 July 2024,5,Ajay Kumar,"Best febric extreme thin cotton and very comfortable both for gym and causal wear
"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,14 Feb 2026,4,Abir,Great product just go with one size small because of length
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,2 Apr 2026,4,Suket Raj,So lightweight and colour does not fade away after washing.
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,28 Nov 2025,5,Asad,"Nice T-shirt and the fit is top notch, go for it without thinking about anything..! "
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,5 Feb 2026,5,Md Nazre Imam,"Fitting is good, fabric metrial is also excellent worth of money please checkout "
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,9 June 2025,4,Rohit Singh,"Good quality, Soft fabric & very comfortable to wear."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,3 July 2025,4,Al 7 Op,"Fits well and is comfortable, the material is great."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,6 June 2024,2,The Naveen Mishra,"Cool 😎 

"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,19 Aug 2025,4,Saurav,"Good tshirt for casual wear, but little vibrant
"
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,3 July 2025,4,Al 7 Op,"Fits well and is comfortable, the material is great."
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,30 Oct 2024,5,Geck Guy,Order a size larger if you don't like extremely tight fitting shirts. Perfect 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,9 Apr 2026,5,Noorafreen Anish,The material is very soft and comfortable to wear. Best for the summers😌
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,25 Sept 2025,5,Sreeraj Mukherjee,Brilliant fit and very soft cotton to go with both denim and trousers 
Buy Jack & Jones Slim Fit Pure Cotton Casual T Shirt  - Tshirts for Men 25695618 | Myntra,4.2,₹519,24 Apr 2024,5,Amber Aanan,Very good product.. Happy to purchase thanks Myntra 
